,제목,작가,평점,내용,장르,이용연령가,연재요일
64,도깨비 부른다,WEBANGSANG,9.93,"국내 최대 마약상 <귀사회>귀사회를 중심으로 다섯 명의 아이들이 모이게 된다.그들은 각자 다른 목적을 위해 귀사회의 돈을 노리게 되지만,결국 잔혹한 진실을 마주하며 세상을 구하려 한다.","스토리, 판타지",15세 이용가,월
65,파견체,곽백수,9.9,'단 하나의 지성이 온 우주의 종말을 가져올 수 있다.'빅뱅 38억년 한 지성체의 폭주로 우주 종말의 위기를 겪은우주의 지성체들은 '전우주관리국'이란 연합기구를 만들어우주 전체의 지성체들을 감시 통제하고 있다.이미 지구도 300만년 전부터 인간을 복제한 '파견체'들이란 존재들을 통해 비밀리에감시를 받아오고 있었는데....,"스토리, 판타지",12세 이용가,월
66,버그이터,이륙,9.72,"랭킹 1위 버그 플레이어 '김지한'은 어느 날 의문의 유저에게 캐릭터를 삭제당하고 1레벨이 된다. '버그 쓰지 말 걸..' 후회하던 그때 찾아온 새로운 기회.""다시 랭커로 만들어 줄게. 너 같이 버그 쓰는 놈들 때려잡는 방식으로.""최강 버그 플레이어, 버그 잡는 '버그이터'로 갱생하다!","스토리, 판타지",12세 이용가,월
67,악녀 18세 공략기,홍혜,9.96,"로판 웹툰 속 악녀 라이사가 웹툰 원 작가인 18살 유도은의 몸으로 빙의돼버렸다!이 세계에 빙의된 것도 억울한데, 내가 죽을 운명의 악녀라고?!자신의 결말을 바꾸기 위한 작가 공략기!","스토리, 로맨스",전체연령가,월
68,경비실에서 안내방송 드립니다,수하 / 벌크업,9.26,"인적이 드문 산속 아파트에 이사 온 백성한.어느 날 갑자기 옆집 이웃이 돌변해 아파트를 폐쇄하고 사람들을 죽이기 시작한다. 백성한과 아파트 주민들은 경비실을 장악한 살인마의 주도 아래 목숨을 건 데스게임에 참여하게 되고, 사람들의 살아남기 위한 몸부림이 시작된다.","스토리, 스릴러",15세 이용가,월
69,나만의 고막남친,비로 / 팀 노란 / 이혜율,9.93,"세상과 담쌓은 19금 로맨스 작가 나마네,10여 년 전 가수 재이의 섹시한 저음에 꽂힌 이후단 하루도 거르지 않고 그의 노래를 들었다.그리고 오늘…처음 본 남자에게서 재이의 목소리를 들었다.“그렇게 안 먹으니까 비쩍 말랐지. 주위 사람 걱정시킬 나이는 아니잖아?”예쁜 입으로 밉게 말하는 이상한 사람.그래도…저 목소리로 꼭 듣고 싶은 말이 있다.","스토리, 로맨스",12세 이용가,월
70,지옥연애환담,당첨 / 녹혜 / 황도톨,9.96,갑작스러운 실직과 이별에도 아플 새도 없이 일자리를 알아보는 대한민국의 K-장녀.어느 날 우연히 '더 헬'이라는 회사의 공고를 발견하고 얼떨결에 취업까지 성공하게 된다.그러나 그 곳은  냉미남 염라가 다스리는 진짜 지옥이었다.,"스토리, 로맨스",15세 이용가,월
71,루크 비셸 따라잡기,앙꼬빵 / 학뚜벅 / 에슈티,9.96,"세상 두려울 게 없던 왕국에서 제일 가는 공작가의 망나니 '바스티안 에펜베르크'.자신과 정반대인 왕국 최고 마물사냥꾼 '루크 비셸'과 결혼하겠다고 선언한다!모든 게 반대인 두 사람의 결혼, 과연 평탄할 수 있을 것인가?","스토리, 로맨스",전체연령가,월
72,모노마니아,구리,9.89,"사랑스러운 외모와 밝은 성격으로 인기가 많은 '지우'. 하루가 멀다 하고 고백을 받지만, 막상 연애를 시작하면 집착하는 습관 때문에 금방 차이고 만다. 아무도 지우를 이해해 주지 않았지만, 어느 날 나타난 편입생 '이재'만이 그녀의 이야기를 들어준다.지우는 이재에게 점차 빠져들고 묘한 소유욕까지 느끼게 되는데...이재의 진짜 관심사는 뭘까?​","스토리, 드라마",15세 이용가,월
73,슈퍼스타 천대리,박경원 / 이재국 / Do8,9.81,"“대한민국 직장인이라면 포기한 꿈 하나 정도는 있잖아요.” “그래, 누구에게나 그럴듯한 변명이 있지. 슈퍼스타의 아우라를 전수받기 전까지는…” 일은 일대로 하고 업무 성과는 뺏기고, 오늘도 내일도 평범한 직딩 천호연 대리! 어느 날, 마음을 담아 부른 노래가 과거의 슈퍼스타 한지혁을 불러낸다. “네가 마음에 들었다. 내 아우라를 너에게 전수해 주지.” “…??!” “자, 이제 동료를 모아 직장인 밴드 오디션에 도전하자.” “…??????????!”","스토리, 감성",전체연령가,월
74,사막에 핀 달,선지,9.83,"사막의 전사 나디아. 신녀를 찾아 사막에 온 신관 이세리온은 나디아에게 신녀가 되어달라고 말한다. 나디아는 부족을 지키기 위해 신녀가 되기로 결심하지만, 야만인이라고 무시받는 상황에서 나디아는 과연 진짜 신녀가 될 수 있을까? 신녀로 선택받은 나디아와 신관 이세리온의 이야기.","스토리, 무협/사극",전체연령가,월
75,결혼공략,율무,9.95,"낡고 지친 k-직장인 주인공 하루.하루는 자신만이 가지고 있는 능력을 활용해 욜로처럼 펑펑 쓰고, 시간을 되돌리는 삶을 살아가고 있는데...난데없이 나타나 총을 겨눈 의문의 남자로 인해, 모든 것이 처음으로 돌아간다!어떻게 여기까지 왔는데...! 다시 새내기로 돌아가다니!!게다가 이 모든 것을 끝내려면... 정해진 결혼 상대를 찾아야만 한다?!두 플레이어의 우당탕탕 생존 결혼 공략!","스토리, 로맨스",전체연령가,월
76,역주행!,김현아,9.93,"""지금 인기 급상승 1위가 네 영상이라고!""직캠 하나로 하루아침에 역주행에 성공한 5년차 무명 아이돌 성준, 그리고 성준과 엮이며 서서히 팬이 되어가는 아윤.마냥 꿈과 희망만 있진 않은, 한 아이돌과 팬의 이야기!<일진이 사나워> 김현아 작가의 아이돌 드라마 신작.","스토리, 드라마",전체연령가,월
77,세번째 로망스,문조,9.95,"물 흐르듯 평범하게 살아온 연우는 오랜 연인이었던 태주와 헤어지고, 첫사랑이었던 세진을 만난다.그런데 잊었던 설렘을 느끼기도 전에 갑자기 고등학생으로 돌아가게 되는데…!?빛났던 첫사랑도, 오랜 연애의 끝도 모두 허무한 것을 알기에 사랑 따위엔 아무런 기대도 하지 않겠어!","스토리, 로맨스",전체연령가,월
78,디나운스,윤예,9.81,"세계 최고의 운동화를 만들겠다는 강안의 꿈은 2년 전 그날 끝나버렸다.더는 운동화를 만들지 않겠다고 다짐하고 살아가던 강안은충격적인 진실을 마주하고 마는데... 복수와 성장, 우정이 얽힌 청춘드라마!","스토리, 드라마",12세 이용가,월
79,별을 쫓는 소년들,HYBE,8.98,"용이 부활할 징조가 보이면세계 멸망을 막을 운명의 다섯 소년들이 나타나 멸망을 되돌리고 평화를 가져온다.사람들은 그들을 일컬어 ‘별을 쫓는 소년들'이라고 부른다.마법의 세계.그리고 '마법 아이돌'의 세상.찬란한 시대 속, 마법 없는 아이돌이었던 스타원은 어느 날 마법 능력을 각성하게 되고,마법과 함께 수수께끼의 적, '멸룡도가'가 그들을 찾아온다.비인기 아이돌에서 하루 아침에 '세계를 구할 운명의 소년들'이라는 거대한 사명을 짊어지게 된소년들은 정해진 운명을 바꿀 수 있을까?""너와 함께라면 우린 해낼 수 있어""내 안의 가능성을 발견하는 소년들의 아름답고 절박한 성장담.","스토리, 판타지",12세 이용가,월
80,행운을 부탁해!,해롱,9.89,"온갖 불행을 달고 사는 불운의 주인공, '허윤!' 그런 허윤 앞에 나타난 이상하고 아름다운 남자, '앙드레!' 허윤을 자신의 매니저라고 부르는 앙드레의 정체는 바로, 신을 뽑는 오디션 'SHOW ME THE GRACE'의 후보생. 이상하게도 그의 곁에 있으면 잠시나마 행운을 맛볼 수 있다!? 달콤한 제안에 넘어간 불행 인간 허윤과 까다로운 은총 소유자 앙드레의 좌충우돌 계약 동거가 시작된다!","스토리, 로맨스",전체연령가,월
81,오로지 오로라,홍달,9.9,"“나보고 세상을 구하라고?! 싫어!! 나는 그냥 아이돌이란 말이야!!”미모 최강, 실력 최강, 재력 최강, 탑 아이돌 오로라! 그녀에겐 한가지 비밀이 있다!? 바로 최강 마법 소녀라는 것. 문제는, 12년 전 한 마법 소녀가 세상을 망친 뒤 마법 소녀의 인식은 최악. 이제 마법 소녀 활동은 불법! 비난과 매장은 기본, 잘못하면 감옥까지 끌려가는 상황. 황금빛 인생을 위해선 이 엄청난 힘을 숨겨야 한다!! 하지만 갑자기 나타난 신비로운 소년 ‘심청’의 등장으로 정체가 탄로 날 위기에 처하는데….","스토리, 판타지",전체연령가,월
82,김부장,박태준 만화회사 / 정종택,9.3,"“제발 안경 쓴 아저씨는 건들지 말자…”오직 자신의 딸 '민지'를 위해 특수요원직을 관두고 평범함을 선택한 가장 김부장.그러던 어느 날 민지가 소리소문 없이 사라지고, 김부장은 자신을 감시하는 국가를 적으로 돌리면서까지 딸을 찾아나서기 시작하는데...[외모지상주의], [싸움독학] 그리고 [인생존망]의 세계관을 잇는 공식 스핀오프 작품!","스토리, 액션",15세 이용가,화
83,대학원 탈출일지,요다,9.97,연구에 꿈을 가지고 대학원을 선택한 병아리 요다.예상과는 다르게 연구에 관심 없는 교수님과 똥군기의 연구실 분위기에 당황한다.요다는 과연 무사히 대학원을 탈출할 수 있을 것인가?!,"에피소드, 일상",전체연령가,화
84,놓지마 정신줄 시즌3,신태훈 / 나승훈,9.97,"놓지마 정신줄이 돌아왔다! 정신줄 세계 10년 후의 이야기.정신줄 세상에 10년이란 세월이 흐른 어느 날, 정신줄 세계에 엄청난 대격변이 일어나게 되는데...인간과 정령이 공존하는 한층 더 정신줄 놓은 세상이 열리고 말았다!","에피소드, 개그",전체연령가,화
85,내가 키운 S급들,seri / 비완 / 근서,9.94,"F급 헌터.그것도 잘나가는 S급 동생 발목이나 잡는 쓸모없고 찌질한 F급 형.개판된 인생 대충 살다가 결국 동생 목숨까지 잡아먹고 회귀한 내게 주어진 칭호,'완벽한 양육자'.그래, 이번에는 나대지 말고 얌전히 잘난놈들 뒷바라지나 해 주자.라고 생각했는데, S급들이 좀 이상하다.","스토리, 판타지",12세 이용가,화
86,여신강림,야옹이,9.39,"네웹 대표 글로벌 인기작! 주경, 수호, 서준. 세 청춘의 두근두근 눈호강 로맨스~♡메이크업으로 여신이 된 주경이는 꿈과 사랑을 이룰 수 있을까?","스토리, 로맨스",12세 이용가,화
87,1을 줄게,김계란,9.97,"'다음 사람이 마지막 사랑이 되게 해주세요.' 새해 소원을 빌고 눈을 뜬 하늘은 자신의 몸에 숫자 1이 새겨진 것을 발견하게 된다. 아무래도 숫자의 의미는 남은 연애 횟수인 것 같다. 남은 기회가 한 번 밖에 없다는 사실에 초조해하던 중, 때마침 나타난 해림. 그는 마지막이 되기엔 믿음이 가지 않는 연하남이다. 결국 연인 대신 잠만 자는 사이로 지내기로 하는데..  과연 해림과 하늘의 관계는 어떻게 될까?","스토리, 로맨스",18세 이용가,화
88,마루는 강쥐,모죠,9.98,"우리 집 강아지 마루가 사람이 되었다, 그것도 5살 아이로!강아지 + 어린아이의 무한 에너지와 호기심을 지닌 사고뭉치 강쥐 탄생! 마루야~! 또 어디가!!! 유쾌한 이웃들과 우당탕탕 즐거운 마루의 나날들","에피소드, 개그",전체연령가,화
89,멸망 이후의 세계,S-Cynan / 언데드 ...,9.92,<전지적 독자 시점> 싱숑 작가 원작.이것은 모두가 과거로 돌아갈 때 마지막까지 회귀하지 않았던 한 사나이의 이야기다.,"스토리, 판타지",15세 이용가,화
90,중증외상센터 : 골든 아워,홍비치라 / 한산이가,9.97,"살 수 있는 환자들이 죽어 가고 있다. 이제 더는 그런 일이 없도록 하겠다.사명감 있는 또라이. 중증외상센터의 난폭한 천사. 외상외과 전문의 백강혁, 그의 중증외상센터 되살리기 프로젝트.","스토리, 드라마",15세 이용가,화
91,하루만 네가 되고 싶어,삼,9.97,"'완벽한 인생이었다, 그 애가 나타나기 전까지는'반전에 반전을 거듭하는 치밀한 궁중 서스펜스네이버웹툰 최강자전 19년 대표작.","스토리, 로맨스",15세 이용가,화
92,궤짝,"박태준 만화회사, 주범 /...",9.47,"축축한 복도, 엉켜있는 거미줄,복도 끝 낡은 장판 밑 비밀 지하실그 곳에는 정체 모를 궤짝 하나가 있다.기분 나쁜 소리를 내며 열리는 궤짝누구나 감추고 싶은 어두운 본성궤짝 속 당신이 숨겨둔 비밀은 무엇인가요단편 옴니버스 공포 스릴러","옴니버스, 스릴러",15세 이용가,화
93,용사가 돌아왔다,나락 / 풍백,9.39,"김민수에게 복수를 하겠다는 일념 하나로 이세계를 구한 용사, 박정수. 그는 스스로는 구했지만, 세계를 구하지 못했고, 자신의 세상을 멸망시킨 용사들을 죽이기로 마음 먹는다.이 이야기는 해피 엔딩 따윈 없는 차가운 현실, 용사들을 죽이는 용사에 대한 이야기이다.","스토리, 액션",15세 이용가,화
94,집이 없어,와난,9.97,"집을 버리고 뛰쳐나간 고해준, 집 없이 텐트 생활하는 문제아 백은영. 악연으로 만난 두 사람은 버려진 옛날 기숙사에서 함께 살게 되는데.. 기숙사도 서로도 싫지만 돌아갈 곳이 없는 두 사람의 힘든 성장 이야기","스토리, 드라마",전체연령가,화
